Requirements,Classification
The system should use wireless communication that must be encrypted using SSLv3 at the application layer and WPA2-PSK at the data link layer,Non-functional
The system should have the WPA2-PSK password used for wireless communication must have a bitstrength of at least 80 bits,Non-functional
The system should have the WPA2-PSK password used for wireless communication must be changed every three months,Non-functional
The system should provide waiter password that is used for tablet login must have a bit-strength of at least 64 bits,Non-functional
The system should provide waiter password that is used for tablet login must be changed every three months,Non-functional
The system should provide waiter that he should only be able to log into one tablet at any given instance of time,Non-functional
The system should should reject and notify the waiter who attempts to log in to a second tablet while he is already logged into another table,Non-functional
The system should access to supervisor level for unrestricted access to system functionality,Non-functional
The system should provide a display that does not require a user to log in,Non-functional
The system elemets should no loger take more than 10 seconds to restart,Non-functional
The system should not dismiss an engaged menu unless the customer requests it,Non-functional
"The system should be capable of supporting no less than 200 concurrent connections from any combination of surface computers, tablets and displays",Non-functional
"The system should be capable of supporting an arbitrary number of surface computers, tablets and displays, that is, it should provide no limit on how many devices are in the system",Non-functional
"The system should be capable of supporting an arbitrary number of active meals/orders, that is, no meals/orders should be lost under any circumstances",Non-functional
"The system should be capable of supporting an arbitrary number of active customer payments, that is, no payments should be lost under any circumstances",Non-functional
The system should be linked with the bank server through communication systems,Non-functional
The system should work on client-server architecture,Non-functional
The system should require aninternetserver and which will be able to run PHP application,Non-functional
The system should be testable to ensure correctness,Non-functional
The system should perform the same way irrespective to its Operating System environments,Non-functional
The system should be transmitted between CS sub-system and Web sub-system in less than 5 seconds 95% of the times,Non-functional
"The system should have virtually no user limit, thus it depends on the used infrastructure",Non-functional
The system should be able to link the database from Chamilo 1.9,Non-functional
The system should be able to link the database from Moodle 2.2,Non-functional
The system should be able to show error messages to the user when a problem is detected,Non-functional
The system should keep a log of the found failures in the system,Non-functional
The system should email critical errors to the system administrator,Non-functional
The system should keep a log of the accesses to the system,Non-functional
The system should be able to recover the information in case of failure,Non-functional
The system should encrypt the user’s important information (user/password information),Non-functional
The system should be able to store in the device relevant user authentication information,Non-functional
The system should be able to encrypt information using RSA,Non-functional
The system should be able to encrypt/decrypt information using RSA,Non-functional
The system should be able encrypt the relevant user authentication information stored in a device,Non-functional
The system should be voluntary and the system should follow the European regulations about personal data protection,Non-functional
The system should beaccessible on and off campus via broadband internet connection and using required ID/password combination,Non-functional
The system should provide all functionalities and activities supported by Moodle LMS,Non-functional
The system should provide User interface to create a policy,Non-functional
The system should provide User interface to add a context,Non-functional
The system should provide User interface to edit policy,Non-functional
The system should no longer than 3 milliseconds to response to queries and to load onto the screen after the user submits the query for 1 user,Non-functional
The system should display confirmation messages to users within 4 miliseconds after the user submits information to the system,Non-functional
"The system should check the fact that all clients must be attached to one server, so there is an appropriate control of the information",Non-functional
The system should set the cooking device configuration based on the recipe,Non-functional
The system should automatically generate a shopping list based on ingredients used in cooking,Non-functional
The system should have the ability to update the grocery list through the interface,Non-functional
The system should provide the customer with the e-pill MD.2 Automatic Pill Dispenser,Non-functional
The system should alert primary caregivers when medications are not dispensed after three reminders,Non-functional
The system should interact with the Pill Dispenser by receiving information for further processing,Non-functional
The system should automatically adjust instructions based on serving size desired,Non-functional
The system should turn off power to all cooking devices in the case of fire alarm,Non-functional
The system should alert the customer if the moisture remains present for more than 5 minutes after a shower is finished,Non-functional
The system should detect moisture on the bathroom floor through a sensor,Non-functional
The system should be able to function the heating and cooling through traditional interfacing,Non-functional
The system should be able to interface with motion sensor control,Non-functional
The system should be able to interface with aural sensor control,Non-functional
The system should be able to interface with timer controls,Non-functional
The system should be able to interface with RFID,Non-functional
The system should allow light output to be dimmable,Non-functional
The system should provide visual response to all commands that do not produce a tangible output,Non-functional
The system should provide audio response to all commands do not produce a tangible output,Non-functional
The system should mimic the standard output functioning of particular style device,Non-functional
The system should have large lettered keyboards,Non-functional
The system should mimic standard input functioning of the particular style of device,Non-functional
The system should prompt the system before any command is given,Non-functional
The system should not respond to words from inter-personal conversation,Non-functional
The system should not respond to voice commands from white noise media,Non-functional
The system should provide foot control alternatives for ALF features,Non-functional
The system should provide touch screen control alternatives for ALF features,Non-functional
The system should support minimally a 19-inch monitor for customer side,Non-functional
The system should have large letter text and screen symbols,Non-functional
The system should have 24 X 7 availability so that student can use it at any time according to his convenience,Non-functional
The system should provide less response time so that student and faculty should feel good while using this virtual classroom system,Non-functional
The system should synchronise the video and audio of lectures well,Non-functional
The system should have good audio quality that is clear,Non-functional
The system should have good video quality that is clear,Non-functional
The system should have the minimum software to run Moodle,Non-functional
The system should have the minimum software to host Moodle,Non-functional
The system should run Moodle provided they have the software required,Non-functional
The system should have the minimum hardware with the required software specifies,Non-functional
The system should make sure that the correct interfaces and functionalities are available according to the user type (Teacher or Student) that is using it,Non-functional
The system should be designed such that it can be added to any Moodle system,Non-functional
The system should be designed with the view that this optional functional requirements will be implemented at a later date,Non-functional
"The system should be designed with the view that bugs may need fixing, for future optimisations and for adding extra functionalities for other developers in the Moodle society",Non-functional
The system should let the optimized moodle LMS to be available to users all the time,Non-functional
The system should let the admin to access the files generated by the user and application should store these files in MySQL database and must not share them,Non-functional
The system should accommodate high number of items and users without any fault,Non-functional
The system should not cause any harm to human users,Non-functional
The system should show all product categories to customer. If customer select item then they listed in shopping cart for buying,Non-functional
The system should use SSL (secured socket layer) in all transactions that include any confidential customer information,Non-functional
The system should run on a portable device which also supports a camera,Non-functional
"The system should display the disclaimers, copyright, word mark, trademark and product warranties of the Marvel electronics and home entertainment",Non-functional
The system should use the HTTP protocol for communication over the internet and for the intranet communication will be through TCP/IP protocol suite,Non-functional
The system should be verisign like software which should allow the users to complete secured transaction,Non-functional
The system should communicate with export regulation system to validate export regulations,Non-functional
The system should communicate with external Tax system to calculate tax,Non-functional
The system should communicate with shipping system for tracking orders and updating of shipping methods,Non-functional
The system should communicate with Sales system for order management,Non-functional
The system should communicate with CRM system to provide support,Non-functional
The system should communicate to credit management system for handling financing options,Non-functional
"The system should communicate with billPay system to identify available payment methods , validate the payments and process payment",Non-functional
"The system should communicate with the content manager to get the product specifications, offerings and promotions",Non-functional
The system should communicate with the Configurator to identify all the available components to configure the product,Non-functional
"The system's UI should be implemented using any tool or software package like Java Applet, MS Front Page, EJB etc",Non-functional
"The system's UI should compatible to any browser such as Internet Explorer, Mozilla or Netscape Navigator by which user can access to the system",Non-functional
The system should encrypt all of its databases,Non-functional
The system should never display a customer’s password. It should always be echoed with special characters representing typed characters,Non-functional
The system should not leave any cookies on the customer’s computer containing any of the user’s confidential information,Non-functional
The system should not leave any cookies on the customer’s computer containing the user’s password,Non-functional
The system should confirm all transactions with the customer’s web browser,Non-functional
The system should automatically log out all customers after a period of inactivity,Non-functional
The system shoulduse secure sockets in all transactions that include any confidential customer information,Non-functional
The system should depend upon hardware components of the client/customer for its performance,Non-functional
The system should take initial load time depending on internet connection strength which also depends on the media from which the product is run,Non-functional
The system should be based on web and has to be run from a web server,Non-functional
The system should provide a contractual agreement with an internet service provider who can provide 99.999% availability through their network facilities onto the internet,Non-functional
The system should provide a contractual agreement with an internet service provider for T3 access with 99.9999% availability,Non-functional
The system should provide RAID V Disk Stripping on all database storage disks,Non-functional
The system should provide for replication of databases to off-site storage locations,Non-functional
The system should provide storage of all databases on redundant computers with automatic switchover,Non-functional
The system should multi language support,Non-functional
The system should provide handicap access,Non-functional
The system should provide use of icons and toolbars,Non-functional
The system should provide a digital image for each product in the product catalog,Non-functional
The system should provide a uniform look and feel between all the web pages,Non-functional
The system should result in the confiscation of the ATM card in case if customer fails to provide correct PIN in three attempts,Non-functional
The system should allow the customer to enter the correct PIN in no more three attempts,Non-functional
The system should ask for the transaction type after satisfactory validation of the customer PIN,Non-functional
"The system should determine that sufficient funds exist in the requested account, that the maximum daily limit has not be exceeded",Non-functional
"The system should print the receipt containing information about the transaction, and the card should be ejected",Non-functional
The system should prompt the customer to enter account number when a customer selects query transaction,Non-functional
"The system should check if there are enough funds available in the from account, which are being requested for transfer to the to account. ",Non-functional
The system should cancel any transaction if it has not been completed if the customer presses the Cancel button,Non-functional
The system should enable an ATM operator to shutdown or start up an ATM for routine maintenance,Non-functional
The system should enable an ATM operator to add cash to the cash dispenser,Non-functional
"The system should not be responsible for opening or closing of accounts, and to create, update, and delete customer and debit card records",Non-functional
The system should not be responsible for the maintenance of the hardware devices of the ATM or network facilities,Non-functional
The system should alert the customer that medications need to be reloaded if 4-days worth or less of medication is remaining,Non-functional
"The system should integrate telephone, text messaging, and email through a unified interface",Non-functional
The system should be able to dial the telephone through customer interfaces,Non-functional
The system should create transcripts of all telephone conversations initiated through the system,Non-functional
The system should display the transcripts in real time,Non-functional
The system should save the transcripts automatically,Non-functional
The system should have the ability to delete transcripts,Non-functional
The system should automatically add incoming calls to the user directory,Non-functional
The system should allow telephone conversations through typing interfacing,Non-functional
The system should not add more than two seconds to the time required to perform an action if the system is not connected,Non-functional
The system should not reveal any personal data in correlation to usage scenarios or statistics,Non-functional
The system should provide the ability to reset all settings to the default or a saved configuration,Non-functional
The system administrator should be able to grant developer privileges to users,Non-functional
The system should allow all information and applications to be run from the mobile or local infrastructure,Non-functional
The system should show the avaialbity of flight on the specified date and specified time as many customers are doing advance reservations,Non-functional
The system should display an error message if the banks have no record of the uuser,Non-functional
The system should display an error message if the user enters an invalid passcode,Non-functional
The system should display an error message if the user enters an invalid amount or amount range,Non-functional
